Plant Id,Combined Heat And Power Plant,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,Sector Number,Sector Name,Generator Id,"Reported
Prime Mover","Net Generation
January","Net Generation
February","Net Generation
March","Net Generation
April","Net Generation
May","Net Generation
June","Net Generation
July","Net Generation
August","Net Generation
September","Net Generation
October","Net Generation
November","Net Generation
December","Net Generation
Year To Date",BA_CODE,YEAR
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2ST,CA,133696.0,120914.0,114546.0,92587.0,130585.0,123352.0,120550.0,124622.0,-119.0,5318.0,132931.0,96378.0,1195360.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,-764.0,1423.0,-775.0,-524.0,1528.0,-591.0,-446.0,-416.0,-232.0,-219.0,-221.0,-176.0,-1413.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,-642.0,1480.0,-517.0,-390.0,3367.0,-311.0,-274.0,-581.0,-334.0,-295.0,-490.0,-595.0,418.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,4,ST,56352.0,144128.0,153587.0,150186.0,167995.0,142640.0,172826.0,114060.0,130105.0,122865.0,106193.0,116235.0,1577172.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1ST,CA,131736.0,122523.0,55013.0,0.0,61636.0,126394.0,133397.0,133072.0,126854.0,140041.0,111181.0,127329.0,1269176.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C2,CT,120287.0,107222.0,102176.0,103057.0,109573.0,103798.0,102311.0,107114.0,-119.0,4971.0,120905.0,86145.0,1067440.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C1,CT,119731.0,105294.0,92774.0,58924.0,113118.0,101386.0,103388.0,107287.0,-119.0,4960.0,120800.0,97580.0,1025123.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT,CT,117166.0,107952.0,47205.0,0.0,34504.0,107141.0,113694.0,115026.0,106932.0,123674.0,102279.0,121353.0,1096926.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,3,ST,13516.0,47662.0,33160.0,-415.0,-64.0,-107.0,-206.0,-322.0,-438.0,-380.0,0.0,0.0,92406.0,,2015
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,ST,-3371.0,-4544.0,249318.0,340151.0,109351.0,380250.0,420389.0,413282.0,367997.0,217971.0,206431.0,238501.0,2935726.0,,2015
